badge_id,badge_title,issuer_unit,taxonomy_category,taxonomy_type,taxonomy_level,self_declared_level,pathway_position,audience_signal,confidence,reviewer_status,primary_skill_category,learning_outcome_summary,delivery_mode,source_dataset
B026,CPT Course,OGI,Unknown — Open Q001,Achievement,Foundational,None,Standalone — compliance gate,F-1 international students,Low,Pending,Professional Development,Understand employment compliance requirements for international students,Self-paced,master_dataset
B027,AI Literacy Microcredential,LDI,Faculty & Staff Development,Achievement,Terminal,Terminal,End of Pathway,Broad/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
B028,PM Healthcare Microcredential,LDI,Continuing & Professional Education,Achievement,Terminal,Terminal,End of Pathway,Healthcare professionals,High,Pending,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,master_dataset
B029,AI for Educators Microcredential,LDI,Faculty & Staff Development,Achievement,Terminal,Terminal,End of Pathway,Educators/Faculty,High,Pending,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,master_dataset
SYN-001,2026 Infrastructure Forum,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,Professional Development,Build professional skills through guided learning experiences,Workshop,provided_dataset
SYN-002,Adaptability & Lifelong Learning with AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-003,AI and Data Proficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-004,AI for Administrative Efficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Staff or Administrator,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-005,AI for Educators,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Educators, professionals",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-006,AI in Art and Design Summit,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-007,AI in Context: History and Interdisciplinary Perspectives,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-008,AI in the Workplace,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-009,AI Literacy,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-010,AI Literacy and Fundamentals,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-011,AI Prompting for Business,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-012,AI-Enhanced Instructional Practices,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-013,Critical Evaluation of Generative AI Outputs,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-014,Effective and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-015,Ethical and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-016,Foundations of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-017,Introduction to AI in Education,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-018,Machine Learning Awareness,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Hybrid,provided_dataset
SYN-019,New Jersey Future Energy Transmission Conference 2025,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,Data Science,Understand energy topics and related professional applications,Workshop,provided_dataset
SYN-020,Project Management In Healthcare Microcredential,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-021,Project Management in Healthcare – Course 1: Introduction,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-022,Project Management in Healthcare – Course 2: Intermediate,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-023,Project Management in Healthcare – Course 3: Advanced,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Advanced,Advanced,Yes - connected to a pathway or sequenced badge series.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-024,Project Management in Healthcare – Course 4: Agile,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Applied,Applied,Yes - connected to a pathway or sequenced badge series.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-025,Prompting for Generative AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-026,Responsible and Innovative Use of AI in Academics,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-027,Risk Assessment and Hazard Evaluation Techniques in Industrial Settings,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,Professional Development,Apply safety practices in industrial environments,Hybrid,provided_dataset
SYN-028,Technical Aspects of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-029,Understanding Neural Networks and Deep Learning,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, external audiences",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Hybrid,provided_dataset
SYN-030,Change Management - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Apply change management strategies in practical scenarios,Hybrid,provided_dataset
SYN-031,Change Management Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Apply change management strategies in practical scenarios,Hybrid,provided_dataset
SYN-032,Change Management Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Apply change management strategies in practical scenarios,Hybrid,provided_dataset
SYN-033,Entrepreneurial Experience Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current students,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid,provided_dataset
SYN-034,Entrepreneurship Essentials Badge,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Student Leader,Applied,Applied,No standalone badge offering.,Current students,,,Professional Development,Develop entrepreneurial thinking and practical business skills,Hybrid,provided_dataset
SYN-035,Strategic Thinking - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-036,Strategic Thinking - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-037,Strategic Thinking - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current students,,,Leadership,Strengthen strategic analysis and decision-making skills,Hybrid,provided_dataset
SYN-038,Workplace Readiness - Capstone,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Current students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-039,Workplace Readiness - Foundational,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-040,Workplace Readiness - Intermediate,Office of Student Involvement and Leadership,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Current students,,,Professional Development,Develop workplace skills that improve career preparedness,Hybrid,provided_dataset
SYN-041,CPT Course,Office of Global Initiatives,Co- and Extra-Curricular Digital Badge,International Student,Applied,Applied,No standalone badge offering.,International students,,,Professional Development,Understand employment compliance requirements for international students,Self-paced,provided_dataset
SYN-042,Make 101: Introduction to the Makerspace,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-043,Make 102: Introduction to CO2 Laser Cutting,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Academic Skills,Apply laser cutting techniques safely and effectively,Workshop,provided_dataset
SYN-044,Make 103: Introduction to 3D Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Academic Skills,Apply 3D printing techniques for prototyping and fabrication,Workshop,provided_dataset
SYN-045,Make 242: Introduction to the Woodshop,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Academic Skills,Use woodshop tools safely for fabrication projects,Workshop,provided_dataset
SYN-046,Makerspace Basics,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Current students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-047,MakerSpeak: 3D Concrete Printing,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-048,MakerSpeak: Attention! to Details,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current students,,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-049,MakerSpeak: Iterate to Innovate,NJIT Makerspace,Co- and Extra-Curricular Digital Badge,Undergraduate or Graduate Student,Applied,Applied,No standalone badge offering.,Current students,,,Academic Skills,Build hands-on prototyping and makerspace skills,Workshop,provided_dataset
SYN-050,NJIT/NYSCC Formulation Workshop,Newark College of Engineering,Not publicly available,Student or Industry Professional,Applied,Applied,No standalone badge offering.,"Students, professionals, industry participants",,,Academic Skills,Apply formulation and engineering concepts in lab settings,Workshop,provided_dataset
SYN-051,2026 Infrastructure Forum,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Professional Development,Build professional skills through guided learning experiences,Hybrid,provided_dataset
SYN-052,Adaptability & Lifelong Learning with AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Online,provided_dataset
SYN-053,AI and Data Proficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-054,AI for Administrative Efficiency,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Staff or Administrator,Applied,Applied,No standalone badge offering.,NJIT staff and administrators,,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-055,AI for Educators,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Faculty, instructors, and instructional staff",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-056,AI in Art and Design Summit,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-057,AI in Context: History and Interdisciplinary Perspectives,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-058,AI in the Workplace,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-059,AI Literacy,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-060,AI Literacy and Fundamentals,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-061,AI Prompting for Business,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-062,AI-Enhanced Instructional Practices,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Faculty or Instructional Staff,Applied,Applied,No standalone badge offering.,"Faculty, instructors, and instructional staff",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-063,Critical Evaluation of Generative AI Outputs,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
SYN-064,Effective and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Hybrid,provided_dataset
SYN-065,Ethical and Responsible Use of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-066,Foundations of AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Online,provided_dataset
SYN-067,Introduction to AI in Education,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Workshop,provided_dataset
SYN-068,Machine Learning Awareness,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Foundational,Foundational,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Understand core modeling concepts and practical machine learning applications,Self-paced,provided_dataset
SYN-069,New Jersey Future Energy Transmission Conference 2025,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,Data Science,Understand energy topics and related professional applications,Hybrid,provided_dataset
SYN-070,Project Management In Healthcare Microcredential,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Capstone/Microcredential,Capstone/Microcredential,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-071,Project Management in Healthcare – Course 1: Introduction,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Foundational,Foundational,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Self-paced,provided_dataset
SYN-072,Project Management in Healthcare – Course 2: Intermediate,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Intermediate,Intermediate,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Hybrid,provided_dataset
SYN-073,Project Management in Healthcare – Course 3: Advanced,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Advanced,Advanced,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Online,provided_dataset
SYN-074,Project Management in Healthcare – Course 4: Agile,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Working Professional,Applied,Applied,Yes - connected to a pathway or sequenced badge series.,Working professionals and adult learners,,,Professional Development,Apply project management concepts in healthcare contexts,Online,provided_dataset
SYN-075,Prompting for Generative AI,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Online,provided_dataset
SYN-076,Responsible and Innovative Use of AI in Academics,The Learning and Development Initiative (LDI),Continuing and Professional Education Digital Badge,Adult Learner or Working Professional,Applied,Applied,No standalone badge offering.,"Adult learners, working professionals, and external participants",,,AI / ML,Apply AI concepts and tools in academic or professional settings,Self-paced,provided_dataset
